cur_datetime,UWG_canTemp_K,senWaste,UWG_forcPres_Pa,WallshadeT,WalllitT,RoofT,
2004-06-01 00:05:00,287.334,0.000,99733.833,291.405,290.654,290.545,
2004-06-01 00:10:00,288.137,0.000,99733.833,291.584,290.767,290.616,
2004-06-01 00:15:00,287.770,0.000,99733.833,291.438,290.631,290.439,
2004-06-01 00:20:00,287.830,0.000,99733.833,291.425,290.621,290.349,
2004-06-01 00:25:00,287.811,0.000,99733.833,291.393,290.592,290.242,
2004-06-01 00:30:00,287.813,0.000,99733.833,291.372,290.575,290.161,
2004-06-01 00:35:00,287.810,0.000,99733.833,291.349,290.556,290.079,
2004-06-01 00:40:00,287.808,0.000,99733.833,291.329,290.542,289.996,
2004-06-01 00:45:00,287.806,0.000,99733.833,291.310,290.529,289.912,
2004-06-01 00:50:00,287.804,0.000,99733.833,291.294,290.518,289.829,
2004-06-01 00:55:00,287.802,0.000,99733.833,291.279,290.508,289.745,
2004-06-01 01:00:00,287.800,0.000,99733.833,291.266,290.501,289.659,
2004-06-01 01:05:00,287.799,0.000,99705.500,291.249,290.490,289.595,
2004-06-01 01:10:00,287.798,0.000,99705.500,291.235,290.481,289.534,
2004-06-01 01:15:00,287.801,0.000,99705.500,291.222,290.473,289.473,
2004-06-01 01:20:00,287.803,0.000,99705.500,291.210,290.466,289.411,
2004-06-01 01:25:00,287.802,0.000,99705.500,291.197,290.458,289.349,
2004-06-01 01:30:00,287.802,0.000,99705.500,291.187,290.453,289.296,
2004-06-01 01:35:00,287.801,0.000,99705.500,291.176,290.447,289.242,
2004-06-01 01:40:00,287.800,0.000,99705.500,291.167,290.442,289.188,
2004-06-01 01:45:00,287.799,0.000,99705.500,291.157,290.437,289.134,
2004-06-01 01:50:00,287.798,0.000,99705.500,291.149,290.433,289.085,
2004-06-01 01:55:00,287.798,0.000,99705.500,291.142,290.430,289.037,
2004-06-01 02:00:00,287.797,0.000,99705.500,291.135,290.427,288.988,
2004-06-01 02:05:00,287.796,0.000,99686.667,291.124,290.420,288.958,
2004-06-01 02:10:00,287.795,0.000,99686.667,291.113,290.414,288.936,
2004-06-01 02:15:00,287.795,0.000,99686.667,291.102,290.408,288.914,
2004-06-01 02:20:00,287.796,0.000,99686.667,291.092,290.402,288.892,
2004-06-01 02:25:00,287.798,0.000,99686.667,291.081,290.396,288.870,
2004-06-01 02:30:00,287.801,0.000,99686.667,291.072,290.391,288.861,
2004-06-01 02:35:00,288.070,0.000,99686.667,291.112,290.433,288.882,
