cur_datetime,UWG_canTemp_K, senWaste,
2004-06-01 00:05:00,287.334,22.599,
2004-06-01 00:10:00,288.061,0.674,
2004-06-01 00:15:00,287.609,20.747,
2004-06-01 00:20:00,287.936,21.042,
2004-06-01 00:25:00,287.781,21.082,
2004-06-01 00:30:00,287.915,20.531,
2004-06-01 00:35:00,287.925,20.269,
2004-06-01 00:40:00,287.915,20.066,
2004-06-01 00:45:00,287.902,19.885,
2004-06-01 00:50:00,287.893,19.709,
2004-06-01 00:55:00,287.885,19.540,
2004-06-01 01:00:00,287.879,19.372,
2004-06-01 01:05:00,287.873,19.214,
2004-06-01 01:10:00,287.868,19.066,
2004-06-01 01:15:00,287.917,18.808,
2004-06-01 01:20:00,287.931,18.633,
2004-06-01 01:25:00,287.929,18.495,
2004-06-01 01:30:00,287.925,18.368,
2004-06-01 01:35:00,287.920,18.245,
2004-06-01 01:40:00,287.915,18.124,
2004-06-01 01:45:00,287.911,18.006,
2004-06-01 01:50:00,287.908,17.889,
2004-06-01 01:55:00,287.904,17.774,
2004-06-01 02:00:00,287.901,17.575,
2004-06-01 02:05:00,287.897,17.463,
2004-06-01 02:10:00,287.895,17.351,
2004-06-01 02:15:00,287.907,17.208,
2004-06-01 02:20:00,287.918,17.067,
2004-06-01 02:25:00,287.927,16.931,
2004-06-01 02:30:00,287.933,16.803,
2004-06-01 02:35:00,287.938,16.681,
2004-06-01 02:40:00,287.940,16.564,
2004-06-01 02:45:00,287.942,16.450,
2004-06-01 02:50:00,287.944,16.339,
2004-06-01 02:55:00,287.945,16.230,
2004-06-01 03:00:00,287.945,16.206,
2004-06-01 03:05:00,287.946,16.101,
2004-06-01 03:10:00,287.946,15.999,
2004-06-01 03:15:00,287.950,15.891,
2004-06-01 03:20:00,287.953,15.787,
2004-06-01 03:25:00,287.955,15.686,
2004-06-01 03:30:00,287.956,15.589,
2004-06-01 03:35:00,287.957,15.493,
2004-06-01 03:40:00,287.958,15.399,
2004-06-01 03:45:00,287.959,15.306,
2004-06-01 03:50:00,287.959,15.215,
2004-06-01 03:55:00,287.959,15.125,
2004-06-01 04:00:00,287.960,14.309,
2004-06-01 04:05:00,287.958,14.220,
2004-06-01 04:10:00,287.957,14.131,
2004-06-01 04:15:00,287.955,14.048,
2004-06-01 04:20:00,287.952,13.969,
2004-06-01 04:25:00,287.949,13.892,
2004-06-01 04:30:00,287.946,13.815,
2004-06-01 04:35:00,287.944,13.737,
2004-06-01 04:40:00,287.942,13.660,
2004-06-01 04:45:00,287.941,13.582,
2004-06-01 04:50:00,287.940,13.505,
2004-06-01 04:55:00,287.939,13.428,
2004-06-01 05:00:00,287.938,13.182,
2004-06-01 05:05:00,287.951,13.048,
2004-06-01 05:10:00,287.953,12.951,
2004-06-01 05:15:00,287.930,12.905,
2004-06-01 05:20:00,287.931,12.809,
2004-06-01 05:25:00,287.940,12.697,
2004-06-01 05:30:00,287.947,12.589,
2004-06-01 05:35:00,287.952,12.486,
2004-06-01 05:40:00,287.956,12.386,
2004-06-01 05:45:00,287.960,12.289,
2004-06-01 05:50:00,287.962,12.194,
2004-06-01 05:55:00,287.965,12.101,
2004-06-01 06:00:00,287.967,16.365,
2004-06-01 06:05:00,288.001,7.917,
2004-06-01 06:10:00,287.978,16.000,
2004-06-01 06:15:00,288.020,7.917,
2004-06-01 06:20:00,288.024,7.917,
2004-06-01 06:25:00,288.048,7.917,
2004-06-01 06:30:00,288.061,7.917,
2004-06-01 06:35:00,288.074,7.917,
2004-06-01 06:40:00,288.084,7.917,
2004-06-01 06:45:00,288.093,7.917,
2004-06-01 06:50:00,288.101,7.917,
2004-06-01 06:55:00,288.108,7.917,
2004-06-01 07:00:00,288.114,8.422,
2004-06-01 07:05:00,288.134,8.422,
2004-06-01 07:10:00,288.155,8.422,
2004-06-01 07:15:00,288.074,8.422,
2004-06-01 07:20:00,288.050,8.422,
2004-06-01 07:25:00,288.066,8.422,
2004-06-01 07:30:00,288.096,8.422,
2004-06-01 07:35:00,288.131,8.422,
2004-06-01 07:40:00,288.167,8.422,
2004-06-01 07:45:00,288.201,8.422,
2004-06-01 07:50:00,288.234,8.422,
2004-06-01 07:55:00,288.264,8.422,
2004-06-01 08:00:00,288.292,8.085,
2004-06-01 08:05:00,288.313,8.085,
2004-06-01 08:10:00,288.356,8.085,
2004-06-01 08:15:00,288.389,8.085,
2004-06-01 08:20:00,288.429,8.085,
2004-06-01 08:25:00,288.485,8.085,
2004-06-01 08:30:00,288.546,8.085,
2004-06-01 08:35:00,288.608,8.085,
2004-06-01 08:40:00,288.668,8.085,
2004-06-01 08:45:00,288.725,8.085,
2004-06-01 08:50:00,288.777,8.085,
2004-06-01 08:55:00,288.826,8.085,
2004-06-01 09:00:00,288.870,7.075,
2004-06-01 09:05:00,288.893,7.075,
2004-06-01 09:10:00,288.947,7.075,
2004-06-01 09:15:00,289.004,7.075,
2004-06-01 09:20:00,289.084,7.075,
2004-06-01 09:25:00,289.189,7.075,
2004-06-01 09:30:00,289.303,7.075,
2004-06-01 09:35:00,289.418,7.075,
2004-06-01 09:40:00,289.529,7.075,
2004-06-01 09:45:00,289.634,7.075,
2004-06-01 09:50:00,289.731,7.075,
2004-06-01 09:55:00,289.820,7.075,
2004-06-01 10:00:00,289.902,6.401,
2004-06-01 10:05:00,289.977,6.401,
2004-06-01 10:10:00,290.058,6.401,
2004-06-01 10:15:00,290.160,6.401,
2004-06-01 10:20:00,290.306,6.401,
2004-06-01 10:25:00,290.469,6.401,
2004-06-01 10:30:00,290.636,6.401,
2004-06-01 10:35:00,290.794,6.401,
2004-06-01 10:40:00,290.940,6.401,
2004-06-01 10:45:00,291.074,6.401,
2004-06-01 10:50:00,291.194,6.401,
2004-06-01 10:55:00,291.301,6.401,
2004-06-01 11:00:00,291.398,5.137,
2004-06-01 11:05:00,291.483,5.137,
2004-06-01 11:10:00,291.569,5.137,
2004-06-01 11:15:00,291.652,5.137,
2004-06-01 11:20:00,291.731,5.137,
2004-06-01 11:25:00,291.821,5.137,
2004-06-01 11:30:00,291.912,5.137,
2004-06-01 11:35:00,292.000,5.137,
2004-06-01 11:40:00,292.083,5.137,
2004-06-01 11:45:00,292.160,5.137,
2004-06-01 11:50:00,292.231,5.137,
2004-06-01 11:55:00,292.296,5.137,
2004-06-01 12:00:00,292.355,4.464,
2004-06-01 12:05:00,292.409,4.464,
2004-06-01 12:10:00,292.462,4.464,
2004-06-01 12:15:00,292.527,4.464,
2004-06-01 12:20:00,292.612,4.464,
2004-06-01 12:25:00,292.713,4.464,
2004-06-01 12:30:00,292.819,4.464,
2004-06-01 12:35:00,292.925,4.464,
2004-06-01 12:40:00,293.025,4.464,
2004-06-01 12:45:00,293.118,4.464,
2004-06-01 12:50:00,293.205,4.464,
2004-06-01 12:55:00,293.284,4.464,
2004-06-01 13:00:00,293.357,3.958,
2004-06-01 13:05:00,293.422,3.958,
2004-06-01 13:10:00,293.482,3.958,
2004-06-01 13:15:00,293.554,3.958,
2004-06-01 13:20:00,293.643,3.958,
2004-06-01 13:25:00,293.745,3.958,
2004-06-01 13:30:00,293.851,3.958,
2004-06-01 13:35:00,293.956,3.958,
2004-06-01 13:40:00,294.055,3.958,
2004-06-01 13:45:00,294.147,3.958,
2004-06-01 13:50:00,294.232,3.958,
2004-06-01 13:55:00,294.310,3.958,
2004-06-01 14:00:00,294.382,3.453,
2004-06-01 14:05:00,294.451,3.453,
2004-06-01 14:10:00,294.507,3.453,
2004-06-01 14:15:00,294.568,3.453,
2004-06-01 14:20:00,294.649,3.453,
2004-06-01 14:25:00,294.718,3.453,
2004-06-01 14:30:00,294.782,3.453,
2004-06-01 14:35:00,294.838,3.453,
2004-06-01 14:40:00,294.889,3.453,
2004-06-01 14:45:00,294.934,3.453,
